instance family pattern-time pattern-isconnected pattern-meandistance pattern-maxdistance pattern-proportiondistancege2 pattern-proportiondistancege3 pattern-proportiondistancege4 target-time target-isconnected target-meandistance target-maxdistance target-proportiondistancege2 target-proportiondistancege3 target-proportiondistancege4
si4_m4D_m1296.02 5 8 0 5.65316 15 0.208904 0.19428 0.171054 104 0 6.49652 17 0.328275 0.316258 0.292934
si4_m4D_m1296.01 5 19 1 6.26987 15 0.986665 0.951149 0.878267 109 0 6.49652 17 0.328275 0.316258 0.292934
si4_m4D_m1296.07 5 18 1 6.2552 15 0.986658 0.951178 0.878036 108 0 6.49652 17 0.328275 0.316258 0.292934
si6_b03m_m400.03 4 2 1 5.74439 10 0.984757 0.952743 0.886528 9 0 6.41729 13 0.985012 0.96665 0.92525
si6_b03m_m400.01 4 2 1 5.88964 10 0.984757 0.955764 0.893611 9 1 6.54664 14 0.99 0.9717 0.931562
si6_b03m_m400.09 4 2 1 5.22287 8 0.984757 0.951562 0.867951 8 1 6.40053 14 0.99 0.971738 0.929725
si6_b03m_m400.08 4 2 1 6.03169 10 0.984618 0.957361 0.9025 9 1 6.74481 14 0.990012 0.973175 0.937388
si6_b03m_m400.07 4 2 1 5.94916 11 0.98441 0.95566 0.895521 9 1 6.85426 16 0.99 0.973 0.936925
si6_b03m_m400.02 4 2 1 6.11161 11 0.984653 0.955937 0.900451 8 1 6.56355 13 0.990025 0.972275 0.9343
si6_b03m_m400.05 4 2 1 5.55349 10 0.984583 0.953611 0.879444 9 1 6.69677 16 0.99 0.972337 0.932775
si6_b03m_m400.00 4 2 1 5.81824 11 0.984688 0.953368 0.890174 9 1 6.64345 17 0.990025 0.972425 0.933612
si6_b03m_m400.06 4 2 1 5.63128 10 0.984583 0.954097 0.890243 9 0 6.38702 13 0.985012 0.967625 0.929662
si6_b03m_m400.04 4 2 1 5.68117 10 0.984688 0.954722 0.891076 9 0 6.45965 12 0.985012 0.967562 0.928425
si4_m4D_m256.07 5 0 1 4.05475 8 0.944252 0.820261 0.623222 3 0 4.75472 11 0.600586 0.547363 0.454834
si4_m4D_m256.06 5 0 1 4.06989 8 0.944637 0.820454 0.624952 3 0 4.75472 11 0.600586 0.547363 0.454834
si4_m4D_m256.05 5 0 1 4.0396 8 0.942714 0.815648 0.614379 3 0 4.75472 11 0.600586 0.547363 0.454834
si4_m4D_m256.08 5 0 1 4.21452 9 0.944637 0.826028 0.640715 3 0 4.75472 11 0.600586 0.547363 0.454834
si4_m4D_m256.04 5 0 1 4.27529 10 0.943868 0.825836 0.641869 3 0 4.75472 11 0.600586 0.547363 0.454834
si4_m4D_m256.09 5 0 1 4.21103 10 0.942907 0.822568 0.632641 3 0 4.75472 11 0.600586 0.547363 0.454834
si4_m4D_m256.02 5 0 1 4.23724 11 0.944637 0.826221 0.640138 3 0 4.75472 11 0.600586 0.547363 0.454834
si4_m4D_m256.00 5 0 1 4.26403 10 0.943099 0.824106 0.638024 3 0 4.75472 11 0.600586 0.547363 0.454834
si4_m4D_m256.03 5 0 1 4.14949 9 0.943483 0.818916 0.627835 3 0 4.75472 11 0.600586 0.547363 0.454834
si4_m4D_m256.01 5 0 1 4.22772 9 0.944444 0.826797 0.642445 3 0 4.75472 11 0.600586 0.547363 0.454834
si6_b06m_m800.07 4 16 1 4.45224 8 0.98763 0.949271 0.818116 69 1 4.57095 8 0.991256 0.9646 0.856872
si6_b06m_m800.04 4 15 1 4.3214 7 0.987569 0.949158 0.800799 68 1 4.48737 9 0.99125 0.964034 0.848544
si6_b06m_m800.01 4 16 1 4.23675 8 0.987378 0.942283 0.782752 68 1 4.50686 8 0.991256 0.963628 0.848387
si6_b06m_m800.00 4 16 1 4.38674 8 0.987613 0.948247 0.81158 69 1 4.56424 8 0.991263 0.964544 0.856413
si6_b06m_m800.05 4 16 1 4.30308 7 0.987318 0.946319 0.797127 68 1 4.52232 8 0.991263 0.964416 0.850809
si6_b06m_m800.08 4 16 1 4.4009 7 0.98737 0.949783 0.816059 68 1 4.58608 8 0.991256 0.964634 0.857466
si6_b06m_m800.09 4 16 1 4.36093 7 0.987439 0.947613 0.810807 67 1 4.55499 8 0.991256 0.964413 0.855359
si6_b06m_m800.02 4 15 1 4.39721 8 0.987691 0.948203 0.810616 67 1 4.53042 9 0.991256 0.963975 0.850531
si6_b06m_m800.03 4 16 1 4.24257 7 0.987648 0.946736 0.790217 67 1 4.55103 9 0.991272 0.964734 0.854241
si6_b06m_m800.06 4 16 1 4.41568 8 0.987639 0.950009 0.816675 68 1 4.54232 8 0.991263 0.964828 0.85755
si4_r001_m400.08 7 1 1 3.81847 9 0.968906 0.877891 0.622969 19 1 3.08333 5 0.9771 0.827625 0.268688
si4_r001_m400.06 7 1 1 3.6717 8 0.968359 0.870625 0.588281 18 1 3.07581 5 0.9771 0.826063 0.262813
si4_r001_m400.02 7 1 1 3.73278 8 0.968203 0.872266 0.602109 18 1 3.07744 5 0.977163 0.82665 0.264313
si4_r001_m400.00 7 1 1 3.7434 8 0.968359 0.876641 0.617109 18 1 3.07723 5 0.97705 0.827113 0.263887
si4_r001_m400.04 7 1 1 3.7798 7 0.968594 0.878672 0.630547 18 1 3.08095 5 0.9772 0.829738 0.265587
si4_r001_m400.03 7 1 1 3.74866 8 0.968828 0.874062 0.609844 19 1 3.06672 5 0.977038 0.824013 0.2574
si4_r001_m400.09 7 1 1 3.73247 7 0.968906 0.873516 0.605859 19 1 3.06945 5 0.97695 0.8229 0.260238
si4_r001_m400.05 7 1 1 3.96934 8 0.970625 0.890078 0.667813 18 1 3.07693 5 0.9771 0.826638 0.263387
si4_r001_m400.01 7 1 1 3.99976 9 0.970781 0.893359 0.678984 18 1 3.08024 6 0.97715 0.827887 0.266163
si4_r001_m400.07 7 1 1 3.80047 8 0.968984 0.879141 0.628594 18 1 3.07974 5 0.977025 0.826438 0.266125
si2_m4Dr6_m1296.00 6 3 1 4.87687 7 0.982722 0.936539 0.837256 248 1 4.58625 8 0.99402 0.970862 0.878195
si2_m4Dr6_m1296.01 6 3 1 4.77825 7 0.982454 0.93478 0.826911 248 1 4.5917 8 0.99402 0.970924 0.878997
si2_m4Dr6_m1296.09 6 3 1 4.54904 7 0.981649 0.928877 0.800823 247 1 4.60056 8 0.99402 0.971033 0.880338
si2_m4Dr6_m1296.06 6 3 1 4.70549 7 0.982424 0.932097 0.820769 248 1 4.5738 8 0.994016 0.97085 0.878288
si2_m4Dr6_m1296.03 6 4 1 4.44518 7 0.980129 0.92041 0.779565 249 1 4.58481 8 0.99402 0.970865 0.878501
si2_m4Dr6_m1296.02 6 3 1 4.76122 7 0.982424 0.935198 0.831144 246 1 4.58689 8 0.994019 0.970925 0.878745
si2_m4Dr6_m1296.05 6 3 1 4.86537 7 0.983319 0.937285 0.842057 248 1 4.58986 8 0.99402 0.970861 0.878347
si2_m4Dr6_m1296.08 6 3 1 4.56906 7 0.980844 0.925746 0.798676 250 1 4.59255 8 0.994021 0.970849 0.877967
si2_m4Dr6_m1296.04 6 3 1 4.81587 7 0.982454 0.935585 0.835796 247 1 4.57678 8 0.994019 0.970911 0.878721
si2_m4Dr6_m1296.07 6 3 1 4.83727 7 0.982514 0.936152 0.839165 248 1 4.5853 8 0.994019 0.970791 0.877433
si2_b03_m800.07 3 0 1 27.3395 80 0.975234 0.950703 0.926484 62 1 100.625 200 0.995 0.99 0.985
si2_b03_m800.08 3 0 1 27.3395 80 0.975234 0.950703 0.926484 62 1 100.625 200 0.995 0.99 0.985
si2_b03_m800.04 3 0 1 27.3395 80 0.975234 0.950703 0.926484 62 1 100.625 200 0.995 0.99 0.985
si2_b03_m800.05 3 0 1 27.3395 80 0.975234 0.950703 0.926484 62 1 100.625 200 0.995 0.99 0.985
si2_b03_m800.09 3 0 1 27.3395 80 0.975234 0.950703 0.926484 63 1 100.625 200 0.995 0.99 0.985
si2_b03_m800.00 3 0 1 27.3395 80 0.975234 0.950703 0.926484 62 1 100.625 200 0.995 0.99 0.985
si2_b03_m800.02 3 0 1 27.3395 80 0.975234 0.950703 0.926484 62 1 100.625 200 0.995 0.99 0.985
si2_b03_m800.03 3 0 1 27.3395 80 0.975234 0.950703 0.926484 61 1 100.625 200 0.995 0.99 0.985
si2_b03_m800.01 3 0 1 27.3395 80 0.975234 0.950703 0.926484 61 1 100.625 200 0.995 0.99 0.985
si2_b03_m800.06 3 0 1 27.3395 80 0.975234 0.950703 0.926484 61 1 100.625 200 0.995 0.99 0.985
si4_b03m_m200.05 4 0 1 4.96424 10 0.955625 0.88375 0.750938 2 1 5.88618 13 0.98 0.9477 0.88235
si4_b03m_m200.02 4 0 1 4.13639 6 0.957187 0.868437 0.697812 2 1 5.60573 13 0.98 0.94595 0.87205
si4_b03m_m200.04 4 0 1 4.33418 7 0.955625 0.86875 0.7175 2 1 5.89477 13 0.98 0.9474 0.8832
si4_b03m_m200.07 4 0 1 4.56709 8 0.955 0.87 0.718437 2 1 6.11065 13 0.98 0.947 0.8808
si4_b03m_m200.00 4 0 1 4.64778 8 0.956875 0.888437 0.764687 2 1 5.7992 12 0.98 0.9471 0.88165
si4_b03m_m200.06 4 0 1 4.15854 7 0.95625 0.873437 0.702812 2 1 6.22744 15 0.98005 0.9485 0.88725
si4_b03m_m200.03 4 0 1 5.11519 8 0.957812 0.895625 0.800625 2 1 5.95271 13 0.98005 0.94895 0.88835
si4_b03m_m200.09 4 0 1 4.36424 7 0.9575 0.878437 0.743437 2 1 5.82593 14 0.98 0.9455 0.87625
si4_b03m_m200.08 4 0 1 4.63006 8 0.95625 0.874062 0.750625 2 0 6.09736 13 0.9701 0.9378 0.8786
si4_b03m_m200.01 4 0 1 4.44652 8 0.957187 0.854688 0.706875 2 1 5.65146 13 0.98005 0.94535 0.8754
si2_b06m_m200.04 4 0 1 2.94744 4 0.88375 0.695 0.32 3 1 3.72166 7 0.96505 0.87445 0.61045
si2_b06m_m200.03 4 0 1 2.85385 4 0.8725 0.66625 0.26875 3 1 3.63744 6 0.9651 0.874 0.59745
si2_b06m_m200.08 4 0 1 3.01282 6 0.8675 0.6725 0.34 3 1 3.76 7 0.96515 0.87745 0.6286
si2_b06m_m200.06 4 0 1 2.73974 4 0.885 0.6075 0.20375 3 1 3.63372 7 0.965 0.86845 0.58035
si2_b06m_m200.05 4 0 1 2.72564 4 0.87 0.5925 0.22 3 1 3.68779 6 0.96515 0.8739 0.61345
si2_b06m_m200.02 4 0 1 2.69615 4 0.88 0.6075 0.16625 3 1 3.71894 7 0.96515 0.8757 0.60925
si2_b06m_m200.00 4 0 1 2.91923 4 0.8975 0.65125 0.3225 3 1 3.69221 7 0.965 0.8736 0.6062
si2_b06m_m200.01 4 0 1 2.92821 4 0.895 0.695 0.29 3 1 3.68864 7 0.9651 0.8738 0.60385
si2_b06m_m200.09 4 0 1 2.82564 4 0.885 0.6475 0.2475 2 1 3.66995 7 0.9651 0.8727 0.5993
si2_b06m_m200.07 4 0 1 2.82436 4 0.89125 0.63875 0.24875 3 1 3.72709 7 0.9651 0.87525 0.6153
si6_m4Dr4_m625.05 6 10 1 4.45798 8 0.983936 0.935893 0.802119 41 1 4.45465 8 0.988416 0.950216 0.82687
si6_m4Dr4_m625.09 6 10 1 4.43643 9 0.983708 0.934258 0.795079 42 1 4.45684 8 0.988421 0.950036 0.825764
si6_m4Dr4_m625.04 6 10 1 4.42176 8 0.983936 0.934414 0.794368 41 1 4.44299 8 0.988416 0.950108 0.825585
si6_m4Dr4_m625.00 6 10 1 4.55997 8 0.984391 0.940316 0.81984 41 1 4.46066 8 0.988416 0.950349 0.829076
si6_m4Dr4_m625.08 6 10 1 4.4572 8 0.983851 0.935111 0.799829 41 1 4.45034 8 0.988426 0.950205 0.826762
si6_m4Dr4_m625.06 6 10 1 4.27055 8 0.98341 0.930332 0.771399 41 1 4.4633 9 0.988416 0.950011 0.825472
si6_m4Dr4_m625.01 6 10 1 4.5095 9 0.984249 0.938411 0.810894 41 1 4.44923 8 0.988426 0.950359 0.827003
si6_m4Dr4_m625.03 6 10 1 4.56592 9 0.984476 0.940373 0.819556 41 1 4.44593 8 0.988421 0.949975 0.82454
si6_m4Dr4_m625.07 6 10 1 4.63826 9 0.984775 0.94262 0.829156 41 1 4.42763 8 0.988416 0.950164 0.825928
si6_m4Dr4_m625.02 6 10 1 4.34772 8 0.983509 0.932821 0.785735 41 1 4.41875 8 0.988416 0.950083 0.82474
si4_b03_m200.06 3 0 1 14.0123 40 0.950937 0.902813 0.855938 2 1 25.6231 50 0.98 0.96 0.94
si4_b03_m200.02 3 0 1 14.0123 40 0.950937 0.902813 0.855938 2 1 25.6231 50 0.98 0.96 0.94
si4_b03_m200.07 3 0 1 14.0123 40 0.950937 0.902813 0.855938 2 1 25.6231 50 0.98 0.96 0.94
si4_b03_m200.04 3 0 1 14.0123 40 0.950937 0.902813 0.855938 2 1 25.6231 50 0.98 0.96 0.94
si4_b03_m200.03 3 0 1 14.0123 40 0.950937 0.902813 0.855938 2 1 25.6231 50 0.98 0.96 0.94
si4_b03_m200.05 3 0 1 14.0123 40 0.950937 0.902813 0.855938 2 1 25.6231 50 0.98 0.96 0.94
si4_b03_m200.09 3 0 1 14.0123 40 0.950937 0.902813 0.855938 2 1 25.6231 50 0.98 0.96 0.94
si4_b03_m200.01 3 0 1 14.0123 40 0.950937 0.902813 0.855938 2 1 25.6231 50 0.98 0.96 0.94
si4_b03_m200.00 3 0 1 14.0123 40 0.950937 0.902813 0.855938 2 1 25.6231 50 0.98 0.96 0.94
si4_b03_m200.08 3 0 1 14.0123 40 0.950937 0.902813 0.855938 2 1 25.6231 50 0.98 0.96 0.94
si2_b03_m400.03 3 0 1 14.0123 40 0.950937 0.902813 0.855938 9 1 50.6241 100 0.99 0.98 0.97
si2_b03_m400.06 3 0 1 14.0123 40 0.950937 0.902813 0.855938 9 1 50.6241 100 0.99 0.98 0.97
si2_b03_m400.07 3 0 1 14.0123 40 0.950937 0.902813 0.855938 9 1 50.6241 100 0.99 0.98 0.97
si2_b03_m400.01 3 0 1 14.0123 40 0.950937 0.902813 0.855938 9 1 50.6241 100 0.99 0.98 0.97
si2_b03_m400.05 3 0 1 14.0123 40 0.950937 0.902813 0.855938 9 1 50.6241 100 0.99 0.98 0.97
si2_b03_m400.09 3 0 1 14.0123 40 0.950937 0.902813 0.855938 9 1 50.6241 100 0.99 0.98 0.97
si2_b03_m400.02 3 0 1 14.0123 40 0.950937 0.902813 0.855938 9 1 50.6241 100 0.99 0.98 0.97
si2_b03_m400.00 3 0 1 14.0123 40 0.950937 0.902813 0.855938 9 1 50.6241 100 0.99 0.98 0.97
si2_b03_m400.08 3 0 1 14.0123 40 0.950937 0.902813 0.855938 9 1 50.6241 100 0.99 0.98 0.97
si2_b03_m400.04 3 0 1 14.0123 40 0.950937 0.902813 0.855938 9 1 50.6241 100 0.99 0.98 0.97
si4_b09_m200.02 3 0 1 4.30949 11 0.8825 0.70875 0.55125 3 1 7.15075 13 0.95 0.87 0.79
si4_b09_m200.01 3 0 1 4.30949 11 0.8825 0.70875 0.55125 3 1 7.15075 13 0.95 0.87 0.79
si4_b09_m200.00 3 0 1 4.30949 11 0.8825 0.70875 0.55125 3 1 7.15075 13 0.95 0.87 0.79
si4_b09_m200.09 3 0 1 4.29335 11 0.882188 0.706875 0.549375 3 1 7.15075 13 0.95 0.87 0.79
si4_b09_m200.08 3 0 1 4.30949 11 0.8825 0.70875 0.55125 3 1 7.15075 13 0.95 0.87 0.79
si4_b09_m200.04 3 0 1 4.30949 11 0.8825 0.70875 0.55125 3 1 7.15075 13 0.95 0.87 0.79
si4_b09_m200.06 3 0 1 4.30949 11 0.8825 0.70875 0.55125 3 1 7.15075 13 0.95 0.87 0.79
si4_b09_m200.05 3 0 1 4.30949 11 0.8825 0.70875 0.55125 3 1 7.15075 13 0.95 0.87 0.79
si4_b09_m200.07 3 0 1 4.30949 11 0.8825 0.70875 0.55125 3 1 7.15075 13 0.95 0.87 0.79
si4_b09_m200.03 3 0 1 4.30949 11 0.8825 0.70875 0.55125 3 1 7.15075 13 0.95 0.87 0.79
si4_m4Dr4_m256.05 6 0 1 3.52359 7 0.946943 0.803153 0.508266 5 1 3.83713 8 0.972473 0.886871 0.653564
si4_m4Dr4_m256.09 6 0 1 3.44438 6 0.946367 0.803153 0.500577 5 1 3.82436 7 0.972504 0.886688 0.648438
si4_m4Dr4_m256.01 6 0 1 3.79926 6 0.953864 0.841984 0.609958 5 1 3.87001 8 0.972534 0.888458 0.66095
si4_m4Dr4_m256.03 6 0 1 3.88779 7 0.95271 0.842753 0.628989 5 1 3.79066 7 0.972504 0.887146 0.647644
si4_m4Dr4_m256.06 6 0 1 3.66667 6 0.950019 0.819877 0.569589 5 1 3.82218 7 0.972473 0.886963 0.652496
si4_m4Dr4_m256.07 6 0 1 3.55892 7 0.944444 0.804498 0.535371 5 1 3.8239 8 0.972473 0.886963 0.650574
si4_m4Dr4_m256.00 6 0 1 3.75461 8 0.949635 0.830834 0.592464 5 1 3.83683 7 0.972504 0.887756 0.657013
si4_m4Dr4_m256.02 6 0 1 3.5131 7 0.945406 0.802576 0.516532 5 1 3.83753 7 0.972504 0.887054 0.652039
si4_m4Dr4_m256.08 6 0 1 3.72005 7 0.951749 0.834295 0.590927 5 1 3.81676 7 0.972504 0.886902 0.651093
si4_m4Dr4_m256.04 6 0 1 3.80276 7 0.951557 0.837562 0.611111 5 1 3.86097 7 0.972534 0.888641 0.661377
si2_m4D_m625.01 5 0 1 4.83871 12 0.9536 0.86336 0.719232 24 0 5.58394 14 0.429696 0.405811 0.361027
si2_m4D_m625.00 5 0 1 4.31884 9 0.95424 0.847232 0.670336 24 0 5.58394 14 0.429696 0.405811 0.361027
si2_m4D_m625.08 5 0 1 4.83871 12 0.9536 0.86336 0.719232 24 0 5.58394 14 0.429696 0.405811 0.361027
si2_m4D_m625.04 5 0 1 4.36439 9 0.954112 0.84864 0.674176 24 0 5.58394 14 0.429696 0.405811 0.361027
si2_m4D_m625.09 5 0 1 4.83871 12 0.9536 0.86336 0.719232 24 0 5.58394 14 0.429696 0.405811 0.361027
si2_m4D_m625.02 5 0 1 4.37897 9 0.954112 0.849536 0.673792 24 0 5.58394 14 0.429696 0.405811 0.361027
si2_m4D_m625.05 5 0 1 4.83871 12 0.9536 0.86336 0.719232 24 0 5.58394 14 0.429696 0.405811 0.361027
si2_m4D_m625.06 5 0 1 4.83871 12 0.9536 0.86336 0.719232 24 0 5.58394 14 0.429696 0.405811 0.361027
si2_m4D_m625.07 5 0 1 4.83871 12 0.9536 0.86336 0.719232 24 0 5.58394 14 0.429696 0.405811 0.361027
si2_m4D_m625.03 5 0 1 4.50039 10 0.953856 0.852608 0.6848 24 0 5.58394 14 0.429696 0.405811 0.361027
si4_b09_m800.03 3 5 1 14.2615 41 0.969199 0.920742 0.873398 94 1 25.9061 51 0.9875 0.9675 0.9475
si4_b09_m800.02 3 5 1 14.266 41 0.969219 0.920859 0.873516 94 1 25.9061 51 0.9875 0.9675 0.9475
si4_b09_m800.09 3 5 1 14.2547 41 0.96916 0.920566 0.873223 94 1 25.9061 51 0.9875 0.9675 0.9475
si4_b09_m800.06 3 5 1 14.266 41 0.969219 0.920859 0.873516 94 1 25.9061 51 0.9875 0.9675 0.9475
si4_b09_m800.04 3 5 1 14.2615 41 0.969199 0.920742 0.873398 94 1 25.9061 51 0.9875 0.9675 0.9475
si4_b09_m800.05 3 5 1 14.2554 41 0.96916 0.920586 0.873242 94 1 25.9061 51 0.9875 0.9675 0.9475
si4_b09_m800.00 3 5 1 14.266 41 0.969219 0.920859 0.873516 94 1 25.9061 51 0.9875 0.9675 0.9475
si4_b09_m800.01 3 5 1 14.266 41 0.969219 0.920859 0.873516 94 1 25.9061 51 0.9875 0.9675 0.9475
si4_b09_m800.07 3 5 1 14.2615 41 0.969199 0.920742 0.873398 95 1 25.9061 51 0.9875 0.9675 0.9475
si4_b09_m800.08 3 5 1 14.2615 41 0.969199 0.920742 0.873398 94 1 25.9061 51 0.9875 0.9675 0.9475
si2_m4Dr4_m256.05 6 0 1 3.17569 5 0.907343 0.705882 0.402922 5 1 3.79112 7 0.972473 0.885773 0.639618
si2_m4Dr4_m256.02 6 0 1 3.33647 5 0.917339 0.731257 0.470588 5 1 3.79311 7 0.972504 0.887024 0.648224
si2_m4Dr4_m256.00 6 0 1 3.14196 6 0.906574 0.696655 0.380623 5 1 3.78686 7 0.972473 0.886841 0.647247
si2_m4Dr4_m256.07 6 0 1 3.13412 6 0.903499 0.691273 0.377547 5 1 3.80095 7 0.972473 0.887634 0.652283
si2_m4Dr4_m256.03 6 0 1 3.4651 6 0.919646 0.748174 0.496732 5 1 3.81814 7 0.972504 0.887665 0.653198
si2_m4Dr4_m256.06 6 0 1 3.17804 5 0.917339 0.726644 0.431373 5 1 3.80892 7 0.972504 0.886536 0.647583
si2_m4Dr4_m256.04 6 0 1 3.50431 6 0.914264 0.733564 0.489043 5 1 3.83064 7 0.972534 0.88736 0.653381
si2_m4Dr4_m256.09 6 0 1 3.35608 5 0.920415 0.748174 0.482122 5 1 3.80313 7 0.972534 0.887543 0.650696
si2_m4Dr4_m256.01 6 0 1 3.09882 6 0.906574 0.695117 0.373702 5 1 3.82708 7 0.972534 0.887909 0.654297
si2_m4Dr4_m256.08 6 0 1 3.28471 6 0.906574 0.711265 0.430604 5 1 3.83833 7 0.972504 0.887848 0.655579
si6_m4Dr2_m256.04 6 1 1 4.04248 8 0.963903 0.871203 0.67316 5 1 4.28441 9 0.97406 0.90506 0.74057
si6_m4Dr2_m256.08 6 1 1 3.96397 8 0.961852 0.864198 0.655047 5 1 4.26651 9 0.97403 0.904968 0.741272
si6_m4Dr2_m256.00 6 1 1 4.16692 8 0.962279 0.872485 0.690931 5 1 4.30386 9 0.97406 0.905823 0.745361
si6_m4Dr2_m256.07 6 1 1 3.94238 8 0.961169 0.861036 0.648041 5 1 4.3568 9 0.97403 0.905426 0.743866
si6_m4Dr2_m256.01 6 1 1 4.07688 8 0.963646 0.873083 0.686403 5 1 4.25129 8 0.97406 0.905426 0.743561
si6_m4Dr2_m256.09 6 1 1 4.03784 8 0.963219 0.871203 0.675125 5 1 4.25303 8 0.97403 0.904633 0.73761
si6_m4Dr2_m256.03 6 1 1 4.1308 8 0.963646 0.873083 0.681447 5 1 4.26131 8 0.97403 0.905121 0.739532
si6_m4Dr2_m256.05 6 1 1 4.07766 9 0.96245 0.870264 0.675808 5 1 4.28588 9 0.97403 0.904663 0.739594
si6_m4Dr2_m256.02 6 1 1 4.15514 8 0.964415 0.879918 0.700756 5 1 4.28548 9 0.97403 0.904633 0.738953
si6_m4Dr2_m256.06 6 1 1 4.22592 8 0.962963 0.87351 0.696655 4 1 4.26069 8 0.97406 0.905701 0.744324
si6_b06_m800.00 3 12 1 53.7787 160 0.985469 0.973099 0.960807 77 1 67.0839 134 0.99125 0.98375 0.97625
si6_b06_m800.05 3 12 1 53.7787 160 0.985469 0.973099 0.960807 76 1 67.0839 134 0.99125 0.98375 0.97625
si6_b06_m800.02 3 12 1 53.7787 160 0.985469 0.973099 0.960807 77 1 67.0839 134 0.99125 0.98375 0.97625
si6_b06_m800.07 3 11 1 53.7787 160 0.985469 0.973099 0.960807 77 1 67.0839 134 0.99125 0.98375 0.97625
si6_b06_m800.08 3 12 1 53.7787 160 0.985469 0.973099 0.960807 77 1 67.0839 134 0.99125 0.98375 0.97625
si6_b06_m800.09 3 11 1 53.7787 160 0.985469 0.973099 0.960807 76 1 67.0839 134 0.99125 0.98375 0.97625
si6_b06_m800.06 3 12 1 53.7787 160 0.985469 0.973099 0.960807 76 1 67.0839 134 0.99125 0.98375 0.97625
si6_b06_m800.01 3 11 1 53.7787 160 0.985469 0.973099 0.960807 77 1 67.0839 134 0.99125 0.98375 0.97625
si6_b06_m800.04 3 12 1 53.7787 160 0.985469 0.973099 0.960807 77 1 67.0839 134 0.99125 0.98375 0.97625
si6_b06_m800.03 3 12 1 53.7787 160 0.985469 0.973099 0.960807 77 1 67.0839 134 0.99125 0.98375 0.97625
si4_b09m_m800.06 4 6 1 3.68766 6 0.97873 0.908789 0.642266 99 1 3.68423 6 0.987509 0.928591 0.642787
si4_b09m_m800.01 4 7 1 3.75302 6 0.977988 0.899414 0.646465 99 1 3.70281 6 0.987516 0.929906 0.653544
si4_b09m_m800.02 4 7 1 3.66918 6 0.977539 0.9025 0.624727 92 1 3.68131 6 0.987506 0.928725 0.644872
si4_b09m_m800.08 4 7 1 3.60125 6 0.977832 0.897988 0.602715 100 1 3.70087 6 0.987525 0.929963 0.652934
si4_b09m_m800.04 4 7 1 3.70031 6 0.977734 0.901953 0.634023 99 1 3.70121 6 0.987506 0.929412 0.652038
si4_b09m_m800.03 4 7 1 3.76405 6 0.978105 0.908027 0.662305 99 1 3.70673 6 0.987506 0.929312 0.652084
si4_b09m_m800.09 4 7 1 3.64645 6 0.977578 0.896953 0.610273 98 1 3.69043 6 0.987516 0.928825 0.647497
si4_b09m_m800.05 4 6 1 3.63578 5 0.979219 0.906055 0.630703 99 1 3.69917 6 0.987525 0.929331 0.652259
si4_b09m_m800.00 4 7 1 3.6924 6 0.977695 0.900117 0.627109 99 1 3.69344 6 0.987516 0.929456 0.650591
si4_b09m_m800.07 4 6 1 3.74496 6 0.979707 0.91168 0.656426 99 1 3.69915 6 0.987509 0.929131 0.650625
si2_b06_m800.04 3 1 1 18.225 53 0.956719 0.920391 0.884766 77 1 67.0839 134 0.99125 0.98375 0.97625
si2_b06_m800.07 3 1 1 18.225 53 0.956719 0.920391 0.884766 76 1 67.0839 134 0.99125 0.98375 0.97625
si2_b06_m800.02 3 1 1 18.225 53 0.956719 0.920391 0.884766 77 1 67.0839 134 0.99125 0.98375 0.97625
si2_b06_m800.00 3 1 1 18.225 53 0.956719 0.920391 0.884766 77 1 67.0839 134 0.99125 0.98375 0.97625
si2_b06_m800.03 3 1 1 18.225 53 0.956719 0.920391 0.884766 77 1 67.0839 134 0.99125 0.98375 0.97625
si2_b06_m800.05 3 1 1 18.225 53 0.956719 0.920391 0.884766 78 1 67.0839 134 0.99125 0.98375 0.97625
si2_b06_m800.09 3 1 1 18.225 53 0.956719 0.920391 0.884766 77 1 67.0839 134 0.99125 0.98375 0.97625
si2_b06_m800.01 3 1 1 18.225 53 0.956719 0.920391 0.884766 77 1 67.0839 134 0.99125 0.98375 0.97625
si2_b06_m800.08 3 1 1 18.225 53 0.956719 0.920391 0.884766 76 1 67.0839 134 0.99125 0.98375 0.97625
si2_b06_m800.06 3 1 1 18.225 53 0.956719 0.920391 0.884766 78 1 67.0839 134 0.99125 0.98375 0.97625
si6_m4D_m256.03 5 1 1 4.59047 11 0.95946 0.86753 0.708104 3 0 4.75472 11 0.600586 0.547363 0.454834
si6_m4D_m256.08 5 1 1 4.51135 10 0.958777 0.864368 0.69956 3 0 4.75472 11 0.600586 0.547363 0.454834
si6_m4D_m256.07 5 1 1 4.61851 11 0.95946 0.8677 0.709983 3 0 4.75472 11 0.600586 0.547363 0.454834
si6_m4D_m256.00 5 1 1 4.53406 10 0.959802 0.86659 0.705541 3 0 4.75472 11 0.600586 0.547363 0.454834
si6_m4D_m256.01 5 1 1 4.58497 11 0.959716 0.86864 0.7093 3 0 4.75472 11 0.600586 0.547363 0.454834
si6_m4D_m256.05 5 1 1 4.58187 11 0.959118 0.866675 0.70648 3 0 4.75472 11 0.600586 0.547363 0.454834
si6_m4D_m256.09 5 0 0 4.29646 11 0.451963 0.395062 0.309454 3 0 4.75472 11 0.600586 0.547363 0.454834
si6_m4D_m256.04 5 1 1 4.55951 11 0.959545 0.867957 0.707506 3 0 4.75472 11 0.600586 0.547363 0.454834
